4145962_0	tell me what is the people 's job title	[ jobTitle ] of @org.schema.Person . Person ( ) ;
1657	who lists QUOTED_STRING_0 as their city and QUOTED_STRING_1 as one of their honors ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && contains~ ( award , QUOTED_STRING_1 ) ;
2180	which QUOTED_STRING_0 winner lists QUOTED_STRING_1 or QUOTED_STRING_2 as memberships ?	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && ( contains~ ( award , QUOTED_STRING_1 ) || contains~ ( award , QUOTED_STRING_2 ) ) ;
2267	list person having colleges with 0 GENERIC_ENTITY_org.schema.Person:Organization_0 and employers containing GENERIC_ENTITY_org.schema.Person:Organization_1	@org.schema.Person . Person ( ) filter ! contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ;
1893	tell me people having no less than NUMBER_0 colleges that is QUOTED_STRING_0 holder .	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( alumniOf ) >= NUMBER_0 ;
2931	retrieve person having colleges with 0 GENERIC_ENTITY_org.schema.Person:Organization_0 that attended GENERIC_ENTITY_org.schema.Person:Organization_1 .	@org.schema.Person . Person ( ) filter ! contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ;
327	who graduated from GENERIC_ENTITY_org.schema.Person:Organization_0 and has the QUOTED_STRING_0 award	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
2650	which individual get GENERIC_ENTITY_org.schema.Person:Organization_0 that is in colleges and won QUOTED_STRING_0	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
367	find attendees of more than NUMBER_0 schools who have received the QUOTED_STRING_0 honor .	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( alumniOf ) >= NUMBER_0 ;
1402	how many universities are there in the people having NUMBER_0 jobs with the smallest amount of alma maters	[ count ( alumniOf ) ] of sort ( count ( alumniOf ) asc of @org.schema.Person . Person ( ) filter count ( worksFor ) == NUMBER_0 ) [ 1 ] ;
1002	how many alma maters are there in the person having at minimum NUMBER_0 alma maters with the least universities	[ count ( alumniOf ) ] of sort ( count ( alumniOf ) asc of @org.schema.Person . Person ( ) filter count ( alumniOf ) >= NUMBER_0 ) [ 1 ] ;
848	who does not have a QUOTED_STRING_0 award and studied at GENERIC_ENTITY_org.schema.Person:Organization_0 .	@org.schema.Person . Person ( ) filter ! contains~ ( award , QUOTED_STRING_0 ) && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
1324	content of colleges are there that is in people having at tiniest NUMBER_0 employers with the biggest count of alma maters	[ count ( alumniOf ) ] of sort ( count ( alumniOf ) desc of @org.schema.Person . Person ( ) filter count ( worksFor ) >= NUMBER_0 ) [ 1 ] ;
1972	content of awards taken are there that is in people with at most NUMBER_0 jobs with the most jobs ?	[ count ( award ) ] of sort ( count ( worksFor ) desc of @org.schema.Person . Person ( ) filter count ( worksFor ) <= NUMBER_0 ) [ 1 ] ;
2834	how many total universities in the people having NUMBER_0 employers with the highest number of colleges ?	[ count ( alumniOf ) ] of sort ( count ( alumniOf ) desc of @org.schema.Person . Person ( ) filter count ( worksFor ) == NUMBER_0 ) [ 1 ] ;
409	who has won the QUOTED_STRING_0 award and worked at both GENERIC_ENTITY_org.schema.Person:Organization_0 and GENERIC_ENTITY_org.schema.Person:Organization_1 ?	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1145	GENERIC_ENTITY_org.schema.Person:Organization_0 quest engineer who won the QUOTED_STRING_0 award	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
857	which are person with tinier than NUMBER_0 jobs which is QUOTED_STRING_0 recipient .	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( worksFor ) <= NUMBER_0 ;
2860	fetch me people that won QUOTED_STRING_0 and are employee of GENERIC_ENTITY_org.schema.Person:Organization_0 .	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1289	what is the person who has either GENERIC_ENTITY_org.schema.Person:Organization_0 or GENERIC_ENTITY_org.schema.Person:Organization_1 in the QUOTED_STRING_0 award universities ?	@org.schema.Person . Person ( ) filter ( contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) || contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ) && contains~ ( award , QUOTED_STRING_0 ) ;
1796	what are the individual with either GENERIC_ENTITY_org.schema.Person:Organization_0 or GENERIC_ENTITY_org.schema.Person:Organization_1 that is in alma maters which is GENERIC_ENTITY_org.schema.Person:Organization_2 alumni	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_2 ) && ( contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) || contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ) ;
2767	which people have jobs that do n't contain GENERIC_ENTITY_org.schema.Person:Organization_0 and get QUOTED_STRING_0	@org.schema.Person . Person ( ) filter ! contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
6	which GENERIC_ENTITY_org.schema.Person:Organization_0 employees went to GENERIC_ENTITY_org.schema.Person:Organization_1 ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
1438	what 's the link of the people with the biggest number of colleges	[ url ] of sort ( count ( alumniOf ) desc of @org.schema.Person . Person ( ) ) [ 1 ] ;
261	show me employees of GENERIC_ENTITY_org.schema.Person:Organization_0 inc. that have been given the QUOTED_STRING_0 award .	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
996	list people that have GENERIC_ENTITY_org.schema.Person:Organization_0 or GENERIC_ENTITY_org.schema.Person:Organization_1 listed as their jobs , as well as , GENERIC_ENTITY_org.schema.Person:Organization_2 .	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_2 ) && ( contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) || contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ) ;
205	i 'd like to know the number of employment for people who have at minimum NUMBER_0 awards received with the biggest amount of alma maters	[ count ( worksFor ) ] of sort ( count ( alumniOf ) desc of @org.schema.Person . Person ( ) filter count ( award ) >= NUMBER_0 ) [ 1 ] ;
2468	who is employed by GENERIC_ENTITY_org.schema.Person:Organization_0 and has the QUOTED_STRING_0 award	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
2232	what 's the people having no more than NUMBER_0 awards with the lowest number of colleges	[ * , count ( alumniOf ) ] of sort ( count ( alumniOf ) asc of @org.schema.Person . Person ( ) filter count ( award ) <= NUMBER_0 ) [ 1 ] ;
1311	give me people with greater than NUMBER_0 awards received which has received the QUOTED_STRING_0 award	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( award ) >= NUMBER_0 ;
8	find people that live in QUOTED_STRING_0 and have won the QUOTED_STRING_1	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && contains~ ( award , QUOTED_STRING_1 ) ;
2344	who went to GENERIC_ENTITY_org.schema.Person:Organization_0 , with GENERIC_ENTITY_org.schema.Person:Organization_1 that is in jobs ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ;
2125	look up all QUOTED_STRING_0 award winners who 're employed by GENERIC_ENTITY_org.schema.Person:Organization_0	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1551	who graduated from GENERIC_ENTITY_org.schema.Person:Organization_0 and also went to either GENERIC_ENTITY_org.schema.Person:Organization_1 or GENERIC_ENTITY_org.schema.Person:Organization_2 ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && ( contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) || contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_2 ) ) ;
1485	find individuals having NUMBER_0 jobs minimum who earned the QUOTED_STRING_0 .	@org.schema.Person . Person ( ) filter ! contains~ ( award , QUOTED_STRING_0 ) && count ( worksFor ) >= NUMBER_0 ;
1296	what are individual having city containing QUOTED_STRING_0 which has the award QUOTED_STRING_1	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && contains~ ( award , QUOTED_STRING_1 ) ;
2805	how many total employers do the person with fewer than 1 employers with the most employers have	[ count ( worksFor ) ] of sort ( count ( worksFor ) desc of @org.schema.Person . Person ( ) filter count ( worksFor ) <= 1 ) [ 1 ] ;
1963	show persons located in QUOTED_STRING_0 who attended GENERIC_ENTITY_org.schema.Person:Organization_0	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
178	show me person that worked at GENERIC_ENTITY_org.schema.Person:Organization_0 and attended GENERIC_ENTITY_org.schema.Person:Organization_1	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
2537	which person is employed by GENERIC_ENTITY_org.schema.Person:Organization_0 and studied at GENERIC_ENTITY_org.schema.Person:Organization_1	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
2432	show people who work at GENERIC_ENTITY_org.schema.Person:Organization_0 and graduated from GENERIC_ENTITY_org.schema.Person:Organization_1	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
30	which QUOTED_STRING_0 award winner graduated from both GENERIC_ENTITY_org.schema.Person:Organization_0 and GENERIC_ENTITY_org.schema.Person:Organization_1 ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains~ ( award , QUOTED_STRING_0 ) ;
2016	amount of alma maters does the individual having 1 awards received with the highest number of awards received have	[ count ( alumniOf ) ] of sort ( count ( award ) desc of @org.schema.Person . Person ( ) filter count ( award ) == 1 ) [ 1 ] ;
1505	who has attended universities containing GENERIC_ENTITY_org.schema.Person:Organization_0 and attended GENERIC_ENTITY_org.schema.Person:Organization_1 in the name .	@org.schema.Person . Person ( ) filter ! contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ;
1802	which worker at GENERIC_ENTITY_org.schema.Person:Organization_0 was a recipient of QUOTED_STRING_0 ?	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
780	what is the number of colleges for people with less than NUMBER_0 colleges with the smallest amount of colleges	[ count ( alumniOf ) ] of sort ( count ( alumniOf ) asc of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= NUMBER_0 ) [ 1 ] ;
2452	show me the person that is an employee of GENERIC_ENTITY_org.schema.Person:Organization_0 and holds the QUOTED_STRING_0 award .	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
2966	which people won the QUOTED_STRING_0 award and have QUOTED_STRING_1 in the city ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_1 && contains~ ( award , QUOTED_STRING_0 ) ;
2678	name those who studied at GENERIC_ENTITY_org.schema.Person:Organization_0 and GENERIC_ENTITY_org.schema.Person:Organization_1 and reside in the QUOTED_STRING_0 ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ;
614	which people was educated at GENERIC_ENTITY_org.schema.Person:Organization_0 and work for GENERIC_ENTITY_org.schema.Person:Organization_1	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ;
1364	who all have NUMBER_0 jobs and also have won the QUOTED_STRING_0 .	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( worksFor ) == NUMBER_0 ;
2049	get people which is holder of QUOTED_STRING_0 , with colleges with GENERIC_ENTITY_org.schema.Person:Organization_0	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1499	search for those who have NUMBER_0 employers and hold the QUOTED_STRING_0	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( worksFor ) == NUMBER_0 ;
1279	who are the QUOTED_STRING_0 residents honored with the QUOTED_STRING_1 ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && contains~ ( award , QUOTED_STRING_1 ) ;
40	which GENERIC_ENTITY_org.schema.Person:Organization_0 alumnis have won the QUOTED_STRING_0 award ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
500	present the people with less than than NUMBER_0 employers with the smallest number of awards received	[ * , count ( award ) ] of sort ( count ( award ) asc of @org.schema.Person . Person ( ) filter count ( worksFor ) <= NUMBER_0 ) [ 1 ] ;
538	tell me which people with NUMBER_0 awards have gotten the QUOTED_STRING_0 .	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( award ) == NUMBER_0 ;
799	for the person who got NUMBER_0 awards with the least awards received how many awards do they have ?	[ count ( award ) ] of sort ( count ( award ) asc of @org.schema.Person . Person ( ) filter count ( award ) == NUMBER_0 ) [ 1 ] ;
1729	how many awards are there in the people with no jobs with the fewest awards received ?	[ count ( award ) ] of sort ( count ( award ) asc of @org.schema.Person . Person ( ) filter count ( worksFor ) == 0 ) [ 1 ] ;
2084	find someone without QUOTED_STRING_0 award who got the QUOTED_STRING_1 .	@org.schema.Person . Person ( ) filter ! contains~ ( award , QUOTED_STRING_0 ) && contains~ ( award , QUOTED_STRING_1 ) ;
1406	what people are QUOTED_STRING_0 winner and attended GENERIC_ENTITY_org.schema.Person:Organization_0	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1810	who worked for GENERIC_ENTITY_org.schema.Person:Organization_0 and received the QUOTED_STRING_0 ?	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
2760	find the count awards received for people that possess NUMBER_0 awards	[ count ( award ) ] of @org.schema.Person . Person ( ) filter count ( award ) == NUMBER_0 ;
1361	who has been granted the award QUOTED_STRING_0 that graduated from GENERIC_ENTITY_org.schema.Person:Organization_0 ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1139	pull up person having NUMBER_0 universities which has won the award QUOTED_STRING_0	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( alumniOf ) == NUMBER_0 ;
2738	show me the people with no more than NUMBER_0 jobs who have the highest number of jobs .	[ * , count ( worksFor ) ] of sort ( count ( worksFor ) desc of @org.schema.Person . Person ( ) filter count ( worksFor ) <= NUMBER_0 ) [ 1 ] ;
1089	what individuals have been given awards QUOTED_STRING_0 and QUOTED_STRING_1 at some point in their lives ?	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && contains~ ( award , QUOTED_STRING_1 ) ;
2031	what people have been trained at GENERIC_ENTITY_org.schema.Person:Organization_0 and GENERIC_ENTITY_org.schema.Person:Organization_1 and are employees of GENERIC_ENTITY_org.schema.Person:Organization_2	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_2 ) ;
2146	fetch people having no more than NUMBER_0 awards received that are QUOTED_STRING_0 awardee .	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( award ) <= NUMBER_0 ;
2118	show all that is graduated in distiction to GENERIC_ENTITY_org.schema.Person:Organization_0 and is QUOTED_STRING_0 winner	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1358	how many alma maters are there in the people with NUMBER_0 colleges with the biggest number of awards received	[ count ( alumniOf ) ] of sort ( count ( award ) desc of @org.schema.Person . Person ( ) filter count ( alumniOf ) == NUMBER_0 ) [ 1 ] ;
2897	locate the people with the fewest awards and a minimum award of 1 .	[ * , count ( award ) ] of sort ( count ( award ) asc of @org.schema.Person . Person ( ) filter count ( award ) >= 1 ) [ 1 ] ;
2047	which person works at GENERIC_ENTITY_org.schema.Person:Organization_0 and went to GENERIC_ENTITY_org.schema.Person:Organization_1 ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
2434	what people got the award for QUOTED_STRING_0 and QUOTED_STRING_1	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && contains~ ( award , QUOTED_STRING_1 ) ;
689	fetch the universities of people with fewer than NUMBER_0 alma maters	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= NUMBER_0 ;
1340	how many universities are there in the people having at minimum NUMBER_0 employers with the largest count of alma maters	[ count ( alumniOf ) ] of sort ( count ( alumniOf ) desc of @org.schema.Person . Person ( ) filter count ( worksFor ) >= NUMBER_0 ) [ 1 ] ;
819	what are person which won the QUOTED_STRING_0 award and is alumni of GENERIC_ENTITY_org.schema.Person:Organization_0 ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1304	how many employers are there in the person having 0 alma maters with the smallest number of awards	[ count ( worksFor ) ] of sort ( count ( award ) asc of @org.schema.Person . Person ( ) filter count ( alumniOf ) == 0 ) [ 1 ] ;
2045	list me the jobs of person that won the QUOTED_STRING_0 award	[ worksFor ] of @org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) ;
2062	what are person that was employed at both GENERIC_ENTITY_org.schema.Person:Organization_0 and GENERIC_ENTITY_org.schema.Person:Organization_1 and has received the QUOTED_STRING_0 award	@org.schema.Person . Person ( ) filter contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains~ ( award , QUOTED_STRING_0 ) ;
2923	how many alma maters with the lowest number of jobs in people with less than NUMBER_0 alma maters ?	[ count ( alumniOf ) ] of sort ( count ( worksFor ) asc of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= NUMBER_0 ) [ 1 ] ;
2414	which are individual that won the QUOTED_STRING_0 award and having colleges not having GENERIC_ENTITY_org.schema.Person:Organization_0 ?	@org.schema.Person . Person ( ) filter ! contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1158	who is QUOTED_STRING_0 winner and get colleges not having GENERIC_ENTITY_org.schema.Person:Organization_0 ?	@org.schema.Person . Person ( ) filter ! contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
1944	what people went to GENERIC_ENTITY_org.schema.Person:Organization_0 and get employers containing no GENERIC_ENTITY_org.schema.Person:Organization_1	@org.schema.Person . Person ( ) filter ! contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) && contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
2123	name the employers of the men and women that have exactly NUMBER_0 awards .	[ worksFor ] of @org.schema.Person . Person ( ) filter count ( award ) == NUMBER_0 ;
2600	amount of employers does the person having less than than NUMBER_0 colleges with the least awards have ?	[ count ( worksFor ) ] of sort ( count ( award ) asc of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= NUMBER_0 ) [ 1 ] ;
2514	look up the person with 1 or more awards received who also has the lowest number of employers , and tell me the number of jobs in their history .	[ count ( worksFor ) ] of sort ( count ( worksFor ) asc of @org.schema.Person . Person ( ) filter count ( award ) >= 1 ) [ 1 ] ;
1912	which individual get QUOTED_STRING_0 as city and worked at GENERIC_ENTITY_org.schema.Person:Organization_0 ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) ;
1343	who are QUOTED_STRING_0 holder and gets GENERIC_ENTITY_org.schema.Person:Organization_0 in the universities ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
2784	find me person that holds the QUOTED_STRING_0 award and having employers containing no GENERIC_ENTITY_org.schema.Person:Organization_0	@org.schema.Person . Person ( ) filter ! contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
361	i want person that holds the QUOTED_STRING_0 award and having colleges containing no GENERIC_ENTITY_org.schema.Person:Organization_0	@org.schema.Person . Person ( ) filter ! contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
296	which QUOTED_STRING_0 award recipients did not attend GENERIC_ENTITY_org.schema.Person:Organization_0 ?	@org.schema.Person . Person ( ) filter ! contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) ;
2328	i desire people that is GENERIC_ENTITY_org.schema.Person:Organization_0 alumni and worked for GENERIC_ENTITY_org.schema.Person:Organization_1 .	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ;
1724	who did n't work at GENERIC_ENTITY_org.schema.Person:Organization_0 but won either QUOTED_STRING_0 or QUOTED_STRING_1 ?	@org.schema.Person . Person ( ) filter ! contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && ( contains~ ( award , QUOTED_STRING_0 ) || contains~ ( award , QUOTED_STRING_1 ) ) ;
377	find holders of the QUOTED_STRING_0 award who have NUMBER_0 or more jobs	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( worksFor ) >= NUMBER_0 ;
2618	seek people with awards containing either QUOTED_STRING_0 or QUOTED_STRING_1 which received the QUOTED_STRING_2 award	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_2 ) && ( contains~ ( award , QUOTED_STRING_0 ) || contains~ ( award , QUOTED_STRING_1 ) ) ;
1200	what is the number of universities for the person with under NUMBER_0 alma maters and the most colleges ?	[ count ( alumniOf ) ] of sort ( count ( alumniOf ) desc of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= NUMBER_0 ) [ 1 ] ;
1712	which are people having awards taken not having QUOTED_STRING_0 which has the award QUOTED_STRING_1	@org.schema.Person . Person ( ) filter ! contains~ ( award , QUOTED_STRING_0 ) && contains~ ( award , QUOTED_STRING_1 ) ;
2130	who has a QUOTED_STRING_0 award and has been to less than NUMBER_0 colleges ?	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( alumniOf ) <= NUMBER_0 ;
2307	which QUOTED_STRING_0 award winner is not a QUOTED_STRING_1 award winner ?	@org.schema.Person . Person ( ) filter ! contains~ ( award , QUOTED_STRING_0 ) && ! contains~ ( award , QUOTED_STRING_1 ) ;
2617	what are the people which received the both QUOTED_STRING_0 and QUOTED_STRING_1 , with employers having 0 GENERIC_ENTITY_org.schema.Person:Organization_0 .	@org.schema.Person . Person ( ) filter ! contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains~ ( award , QUOTED_STRING_0 ) && contains~ ( award , QUOTED_STRING_1 ) ;
2595	i 'm looking for jobs for people with NUMBER_0 awards at most with the smallest amount of awards	[ count ( worksFor ) ] of sort ( count ( award ) asc of @org.schema.Person . Person ( ) filter count ( award ) <= NUMBER_0 ) [ 1 ] ;
678	what are person which got the both QUOTED_STRING_0 and QUOTED_STRING_1 and having QUOTED_STRING_2 in the city ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_2 && contains~ ( award , QUOTED_STRING_0 ) && contains~ ( award , QUOTED_STRING_1 ) ;
2823	how many colleges in the person having at least NUMBER_0 employers with the fewest number of jobs	[ count ( alumniOf ) ] of sort ( count ( worksFor ) asc of @org.schema.Person . Person ( ) filter count ( worksFor ) >= NUMBER_0 ) [ 1 ] ;
1990	who have no less than NUMBER_0 colleges and is QUOTED_STRING_0 holder	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( alumniOf ) >= NUMBER_0 ;
56	who gets less than NUMBER_0 universities and won the QUOTED_STRING_0	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( alumniOf ) <= NUMBER_0 ;
1190	what are people which graduated from GENERIC_ENTITY_org.schema.Person:Organization_0 and worked for GENERIC_ENTITY_org.schema.Person:Organization_1 ?	@org.schema.Person . Person ( ) filter contains ( alumniOf , GENERIC_ENTITY_org.schema.Person:Organization_0 ) && contains ( worksFor , GENERIC_ENTITY_org.schema.Person:Organization_1 ) ;
1643	i need an image depicting QUOTED_STRING_0 .	[ image ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
